Query_ID,Tipo,K_ou_Raio,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
0,kNN,5,668.625,10430,1,5
1,kNN,5,878.572,13882,1,5
2,kNN,5,838.934,14038,1,5
3,kNN,5,814.269,14256,1,5
4,kNN,5,842.097,14319,1,5
5,kNN,5,609.813,10095,1,5
6,kNN,5,869.066,14020,1,5
7,kNN,5,604.327,9969,1,5
8,kNN,5,879.5,14205,1,5
9,kNN,5,714.451,12637,1,5
10,kNN,5,732.047,12681,1,5
11,kNN,5,891.578,13757,1,5
12,kNN,5,814.011,13151,1,5
13,kNN,5,736.147,12309,1,5
14,kNN,5,785.638,14192,1,5
15,kNN,5,787.506,14167,1,5
16,kNN,5,843.257,13767,1,5
17,kNN,5,830.706,13771,1,5
18,kNN,5,842.957,14001,1,5
19,kNN,5,778.748,12916,1,5
20,kNN,5,911.745,14002,1,5
21,kNN,5,633.656,10351,1,5
22,kNN,5,770.026,12103,1,5
23,kNN,5,846.97,14288,1,5
24,kNN,5,741.516,13294,1,5
25,kNN,5,852.942,14065,1,5
26,kNN,5,813.427,13875,1,5
27,kNN,5,375.991,6178,1,5
28,kNN,5,669.307,11088,1,5
29,kNN,5,866.462,14099,1,5
30,kNN,5,795.025,13853,1,5
31,kNN,5,690.954,12367,1,5
32,kNN,5,808.571,13997,1,5
33,kNN,5,786.382,13695,1,5
34,kNN,5,164.273,2725,1,5
35,kNN,5,619.987,10877,1,5
36,kNN,5,828.08,14006,1,5
37,kNN,5,770.039,13954,1,5
38,kNN,5,769.14,14165,1,5
39,kNN,5,708.439,12107,1,5
40,kNN,5,837.866,13930,1,5
41,kNN,5,657.081,11614,1,5
42,kNN,5,818.305,14163,1,5
43,kNN,5,797.432,13653,1,5
44,kNN,5,151.781,2087,1,5
45,kNN,5,731.082,12073,1,5
46,kNN,5,877.878,14162,1,5
47,kNN,5,820.914,14111,1,5
48,kNN,5,702.263,13144,1,5
49,kNN,5,837.793,14011,1,5
50,kNN,5,818.014,13593,1,5
51,kNN,5,859.885,14286,1,5
52,kNN,5,756.749,12644,1,5
53,kNN,5,719.922,11279,1,5
54,kNN,5,788.185,12594,1,5
55,kNN,5,481.965,8477,1,5
56,kNN,5,551.817,8856,1,5
57,kNN,5,830.138,14014,1,5
58,kNN,5,800.351,13546,1,5
59,kNN,5,830.918,14084,1,5
60,kNN,5,811.82,14127,1,5
61,kNN,5,770.711,13844,1,5
62,kNN,5,770.97,13364,1,5
63,kNN,5,815.871,14432,1,5
64,kNN,5,777.165,13930,1,5
65,kNN,5,825.306,14145,1,5
66,kNN,5,807.47,13966,1,5
67,kNN,5,352.403,6380,1,5
68,kNN,5,774.859,12882,1,5
69,kNN,5,808.593,13474,1,5
70,kNN,5,824.837,13704,1,5
71,kNN,5,853.28,14248,1,5
72,kNN,5,825.332,13923,1,5
73,kNN,5,750.678,12682,1,5
74,kNN,5,841.79,13736,1,5
75,kNN,5,800.936,13096,1,5
76,kNN,5,823.416,13522,1,5
77,kNN,5,733.064,12774,1,5
78,kNN,5,757.875,13685,1,5
79,kNN,5,685.148,12849,1,5
80,kNN,5,785.538,14162,1,5
81,kNN,5,252.913,4478,1,5
82,kNN,5,809.074,14193,1,5
83,kNN,5,782.011,13538,1,5
84,kNN,5,823.791,13934,1,5
85,kNN,5,766.282,13399,1,5
86,kNN,5,752.565,12762,1,5
87,kNN,5,791.105,13213,1,5
88,kNN,5,811.715,14227,1,5
89,kNN,5,793.794,13719,1,5
90,kNN,5,702.073,11560,1,5
91,kNN,5,824.344,13714,1,5
92,kNN,5,574.069,10371,1,5
93,kNN,5,805.877,13928,1,5
94,kNN,5,526.403,10265,1,5
95,kNN,5,773.621,14099,1,5
96,kNN,5,784.829,14289,1,5
97,kNN,5,645.853,11835,1,5
98,kNN,5,779.268,14132,1,5
99,kNN,5,642.975,11950,1,5
0,Range,0.1,16.0654,100,1,1
1,Range,0.1,35.5667,232,1,1
2,Range,0.1,31.3613,202,1,1
3,Range,0.1,29.5628,185,1,1
4,Range,0.1,34.5029,208,1,1
5,Range,0.1,24.3603,160,1,1
6,Range,0.1,38.148,233,1,1
7,Range,0.1,31.4504,185,1,1
8,Range,0.1,35.1142,215,1,1
9,Range,0.1,34.5997,219,1,1
10,Range,0.1,38.082,235,1,1
11,Range,0.1,24.3755,155,1,1
12,Range,0.1,21.9477,143,1,1
13,Range,0.1,36.6853,233,1,1
14,Range,0.1,35.1027,223,1,1
15,Range,0.1,36.6559,225,1,1
16,Range,0.1,36.0222,227,1,1
17,Range,0.1,34.9047,221,1,1
18,Range,0.1,36.5117,223,1,1
19,Range,0.1,36.411,225,1,1
20,Range,0.1,33.3187,216,1,1
21,Range,0.1,12.8794,82,1,1
22,Range,0.1,25.3139,165,1,1
23,Range,0.1,31.8135,199,1,1
24,Range,0.1,29.5512,189,1,1
25,Range,0.1,34.0543,218,1,1
26,Range,0.1,14.408,94,1,1
27,Range,0.1,37.8077,227,1,1
28,Range,0.1,37.5979,221,1,1
29,Range,0.1,33.7401,202,1,1
30,Range,0.1,33.0865,195,1,1
31,Range,0.1,38.178,236,1,1
32,Range,0.1,37.1674,228,1,1
33,Range,0.1,35.9845,222,1,1
34,Range,0.1,23.3729,150,1,1
35,Range,0.1,10.5775,67,1,1
36,Range,0.1,13.5505,86,1,1
37,Range,0.1,37.7902,232,1,1
38,Range,0.1,51.163,227,1,1
39,Range,0.1,46.7358,227,1,1
40,Range,0.1,32.8542,180,1,1
41,Range,0.1,39.0041,226,1,1
42,Range,0.1,32.3852,196,1,1
43,Range,0.1,15.418,93,1,1
44,Range,0.1,6.60908,42,1,1
45,Range,0.1,33.9366,211,1,1
46,Range,0.1,17.0973,109,1,1
47,Range,0.1,34.8666,219,1,1
48,Range,0.1,31.8674,190,1,1
49,Range,0.1,38.1884,212,1,1
50,Range,0.1,41.7784,236,1,1
51,Range,0.1,32.904,193,1,1
52,Range,0.1,33.7998,209,1,1
53,Range,0.1,37.4552,231,1,1
54,Range,0.1,37.689,212,1,1
55,Range,0.1,26.3853,163,1,1
56,Range,0.1,37.6111,227,1,1
57,Range,0.1,19.9234,116,1,1
58,Range,0.1,28.4881,177,1,1
59,Range,0.1,33.2126,206,1,1
60,Range,0.1,38.5297,234,1,1
61,Range,0.1,33.8719,198,1,1
62,Range,0.1,29.8538,185,1,1
63,Range,0.1,34.5191,198,1,1
64,Range,0.1,29.5682,187,1,1
65,Range,0.1,27.4128,174,1,1
66,Range,0.1,31.7005,195,1,1
67,Range,0.1,4.34678,27,1,1
68,Range,0.1,26.9893,167,1,1
69,Range,0.1,29.8114,182,1,1
70,Range,0.1,37.4693,227,1,1
71,Range,0.1,35.5316,220,1,1
72,Range,0.1,34.6485,208,1,1
73,Range,0.1,35.6991,219,1,1
74,Range,0.1,38.3476,223,1,1
75,Range,0.1,33.4579,198,1,1
76,Range,0.1,37.925,232,1,1
77,Range,0.1,30.8284,188,1,1
78,Range,0.1,25.736,160,1,1
79,Range,0.1,12.0071,75,1,1
80,Range,0.1,30.8796,192,1,1
81,Range,0.1,25.6559,163,1,1
82,Range,0.1,39.3034,235,1,1
83,Range,0.1,37.1647,222,1,1
84,Range,0.1,19.3229,120,1,1
85,Range,0.1,22.3139,141,1,1
86,Range,0.1,34.218,213,1,1
87,Range,0.1,34.3624,218,1,1
88,Range,0.1,23.9392,148,1,1
89,Range,0.1,33.5508,211,1,1
90,Range,0.1,17.3857,110,1,1
91,Range,0.1,34.9564,210,1,1
92,Range,0.1,37.513,224,1,1
93,Range,0.1,35.7149,223,1,1
94,Range,0.1,38.1386,230,1,1
95,Range,0.1,41.0734,213,1,1
96,Range,0.1,32.0233,187,1,1
97,Range,0.1,38.6889,227,1,1
98,Range,0.1,41.1119,236,1,1
99,Range,0.1,39.2783,227,1,1
